#TYPE Selected.System.ServiceProcess.ServiceController
"Name","Status","DisplayName"
"TextInputManagementService","Running","Text Input Management Service"
"Themes","Running","Themes"
"TieringEngineService","Stopped","Storage Tiers Management"
"TimeBrokerSvc","Running","Time Broker"
"TokenBroker","Running","Web Account Manager"
"TrkWks","Running","Distributed Link Tracking Client"
"TroubleshootingSvc","Stopped","Recommended Troubleshooting Service"
"TrustedInstaller","Stopped","Windows Modules Installer"
"tzautoupdate","Stopped","Auto Time Zone Updater"
"UdkUserSvc_7ef0d","Running","Udk User Service_7ef0d"
"UmRdpService","Stopped","Remote Desktop Services UserMode Port Redirector"
"UnistoreSvc_7ef0d","Running","User Data Storage_7ef0d"
"upnphost","Stopped","UPnP Device Host"
"UserDataSvc_7ef0d","Running","User Data Access_7ef0d"
"UserManager","Running","User Manager"
"UsoSvc","Running","Update Orchestrator Service"
"VaultSvc","Running","Credential Manager"
"vds","Stopped","Virtual Disk"
"vmicguestinterface","Stopped","Hyper-V Guest Service Interface"
"vmicheartbeat","Stopped","Hyper-V Heartbeat Service"
"vmickvpexchange","Stopped","Hyper-V Data Exchange Service"
"vmicrdv","Stopped","Hyper-V Remote Desktop Virtualization Service"
"vmicshutdown","Stopped","Hyper-V Guest Shutdown Service"
"vmictimesync","Stopped","Hyper-V Time Synchronization Service"
"vmicvmsession","Stopped","Hyper-V PowerShell Direct Service"
"vmicvss","Stopped","Hyper-V Volume Shadow Copy Requestor"
"VSS","Stopped","Volume Shadow Copy"
"W32Time","Stopped","Windows Time"
"WaaSMedicSvc","Stopped","WaaSMedicSvc"
"WalletService","Stopped","WalletService"
"WarpJITSvc","Stopped","Warp JIT Service"
"wbengine","Stopped","Block Level Backup Engine Service"
"WbioSrvc","Stopped","Windows Biometric Service"
"Wcmsvc","Running","Windows Connection Manager"
"wcncsvc","Stopped","Windows Connect Now - Config Registrar"
"WdiServiceHost","Stopped","Diagnostic Service Host"
"WdiSystemHost","Running","Diagnostic System Host"
"WdNisSvc","Running","Microsoft Defender Antivirus Network Inspection Service"
"WebClient","Stopped","WebClient"
"webthreatdefsvc","Running","Web Threat Defense Service"
"webthreatdefusersvc_7ef0d","Running","Web Threat Defense User Service_7ef0d"
"Wecsvc","Stopped","Windows Event Collector"
"WEPHOSTSVC","Stopped","Windows Encryption Provider Host Service"
"wercplsupport","Stopped","Problem Reports Control Panel Support"
"WerSvc","Stopped","Windows Error Reporting Service"
"WFDSConMgrSvc","Stopped","Wi-Fi Direct Services Connection Manager Service"
"whesvc","Running","Windows Health and Optimized Experiences"
"WiaRpc","Stopped","Still Image Acquisition Events"
"WinDefend","Running","Microsoft Defender Antivirus Service"
"WinHttpAutoProxySvc","Running","WinHTTP Web Proxy Auto-Discovery Service"
"Winmgmt","Running","Windows Management Instrumentation"
"WinRM","Stopped","Windows Remote Management (WS-Management)"
"wisvc","Stopped","Windows Insider Service"
"WlanSvc","Running","WLAN AutoConfig"
"wlidsvc","Running","Microsoft Account Sign-in Assistant"
"wlpasvc","Stopped","Local Profile Assistant Service"
"WManSvc","Stopped","Windows Management Service"
"wmiApSrv","Stopped","WMI Performance Adapter"
"WMIRegistrationService","Running","Intel(R) Management Engine WMI Provider Registration"
"WMPNetworkSvc","Stopped","Windows Media Player Network Sharing Service"
"workfolderssvc","Stopped","Work Folders"
"WpcMonSvc","Stopped","Parental Controls"
"WPDBusEnum","Stopped","Portable Device Enumerator Service"
"WpnService","Running","Windows Push Notifications System Service"
"WpnUserService_7ef0d","Running","Windows Push Notifications User Service_7ef0d"
"WSAIFabricSvc","Running","WSAIFabricSvc"
"wscsvc","Running","Security Center"
"WSearch","Running","Windows Search"
"wuauserv","Stopped","Windows Update"
"wuqisvc","Stopped","Microsoft Usage and Quality Insights"
"WwanSvc","Stopped","WWAN AutoConfig"
"XblAuthManager","Stopped","Xbox Live Auth Manager"
"XblGameSave","Stopped","Xbox Live Game Save"
"XboxGipSvc","Stopped","Xbox Accessory Management Service"
"XboxNetApiSvc","Stopped","Xbox Live Networking Service"
